PLAYER,NUMERO,FTM,FTA,2PM,2PA,3PM,3PA,RO,RD,PP,PR,AST,ST,FF,FS,+/-,MIN,PTS,FGM,FGA,FG%,FT%,2P%,3P%,RT,game,POS,HEIGHT,Age
Alessandro Arisi,21.0,3.0,4.0,4.0,9.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,2.0,7.0,0 days 00:15:20,11.0,4.0,9.0,44.44444444444444,75.0,44.44444444444444,,4.0,1,5,193,25
Alessandro Contardi,9.0,1.0,2.0,3.0,5.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,6.0,0 days 00:11:44,7.0,3.0,5.0,60.0,50.0,60.0,,1.0,1,3,190,28
Andrea Pasqualini,18.0,0.0,0.0,1.0,5.0,1.0,2.0,2.0,1.0,0.0,1.0,3.0,0.0,3.0,0.0,-10.0,0 days 00:17:00,5.0,2.0,7.0,28.57142857142857,,20.0,50.0,3.0,1,2,183,32
Carlo Zucca,11.0,1.0,2.0,4.0,9.0,0.0,0.0,1.0,5.0,2.0,1.0,5.0,0.0,2.0,6.0,-3.0,0 days 00:35:23,9.0,4.0,9.0,44.44444444444444,50.0,44.44444444444444,,6.0,1,1,182,25
Emanuele Pedriali,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days 00:00:00,0.0,0.0,0.0,,,,,0.0,1,1,175,19
Giovanni Valentini,6.0,6.0,8.0,1.0,8.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,0.0,2.0,5.0,-2.0,0 days 00:28:59,11.0,2.0,12.0,16.666666666666664,75.0,12.5,25.0,4.0,1,3,187,25
Giuseppe Saggese,12.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,0.0,-2.0,0 days 00:10:14,2.0,1.0,3.0,33.33333333333333,,33.33333333333333,,2.0,1,5,202,21
Ivan Petix,10.0,2.0,2.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,-9.0,0 days 00:13:25,2.0,0.0,4.0,0.0,100.0,0.0,0.0,1.0,1,4,195,19
Luca Viscardi,14.0,0.0,0.0,2.0,6.0,0.0,0.0,1.0,4.0,2.0,0.0,2.0,0.0,4.0,1.0,-14.0,0 days 00:20:12,4.0,2.0,6.0,33.33333333333333,,33.33333333333333,,5.0,1,5,195,21
Luigi De Bellis,16.0,0.0,0.0,0.0,1.0,3.0,10.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,-22.0,0 days 00:20:26,9.0,3.0,11.0,27.27272727272727,,0.0,30.0,3.0,1,2,183,39
Marco Guerci,4.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,3.0,2.0,0.0,0 days 00:06:17,2.0,0.0,0.0,,100.0,,,3.0,1,1,180,22
Niccolò Favretto,24.0,1.0,2.0,3.0,5.0,0.0,0.0,1.0,6.0,1.0,0.0,1.0,0.0,5.0,2.0,9.0,0 days 00:21:00,7.0,3.0,5.0,60.0,50.0,60.0,,7.0,1,2,184,23
Alessandro Arisi,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,-3.0,0 days 00:07:56,0.0,0.0,0.0,,,,,3.0,2,5,193,25
Alessandro Contardi,9.0,0.0,2.0,4.0,9.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,22.0,0 days 00:29:01,8.0,4.0,9.0,44.44444444444444,0.0,44.44444444444444,,2.0,2,3,190,28
Andrea Pasqualini,18.0,0.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,24.0,0 days 00:22:44,7.0,3.0,5.0,60.0,,50.0,100.0,0.0,2,2,183,32
Carlo Zucca,11.0,5.0,6.0,4.0,6.0,1.0,1.0,2.0,10.0,2.0,1.0,5.0,1.0,2.0,4.0,19.0,0 days 00:29:06,16.0,5.0,7.0,71.42857142857143,83.33333333333334,66.66666666666666,100.0,12.0,2,1,182,25
Emanuele Pedriali,33.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0 days 00:05:32,2.0,1.0,1.0,100.0,,100.0,,0.0,2,1,175,19
Giovanni Valentini,6.0,2.0,3.0,1.0,6.0,1.0,3.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,2.0,16.0,0 days 00:18:07,7.0,2.0,9.0,22.22222222222222,66.66666666666666,16.666666666666664,33.33333333333333,1.0,2,3,187,25
Giuseppe Saggese,12.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0 days 00:09:15,2.0,1.0,3.0,33.33333333333333,,33.33333333333333,,4.0,2,5,202,21
Ivan Petix,10.0,0.0,0.0,3.0,6.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,-4.0,0 days 00:13:47,9.0,4.0,7.0,57.14285714285714,,50.0,100.0,3.0,2,4,195,19
Jacopo Filippini,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days 00:00:00,0.0,0.0,0.0,,,,,0.0,2,2,175,17
Marco Guerci,4.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,-1.0,0 days 00:10:56,4.0,1.0,2.0,50.0,50.0,0.0,100.0,4.0,2,1,180,22
Niccolò Favretto,24.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,0.0,1.0,0.0,11.0,0 days 00:31:15,4.0,2.0,5.0,40.0,,40.0,,2.0,2,2,184,23
Luca Viscardi,14.0,0.0,0.0,5.0,9.0,0.0,0.0,3.0,4.0,2.0,0.0,2.0,0.0,2.0,1.0,25.0,0 days 00:22:56,10.0,5.0,9.0,55.55555555555556,,55.55555555555556,,7.0,2,5,195,21
Alessandro Arisi,21.0,2.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0,2.0,0 days 00:11:38,8.0,3.0,5.0,60.0,50.0,60.0,,0.0,3,5,193,25
Alessandro Contardi,9.0,0.0,0.0,2.0,9.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0,-2.0,0 days 00:14:20,4.0,2.0,10.0,20.0,,22.22222222222222,0.0,4.0,3,3,190,28
Carlo Zucca,11.0,3.0,3.0,0.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,7.0,0.0,3.0,4.0,8.0,0 days 00:24:15,6.0,1.0,4.0,25.0,100.0,0.0,100.0,3.0,3,1,182,25
Emanuele Pedriali,33.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,1.0,0.0,0.0,0 days 00:09:12,2.0,1.0,1.0,100.0,,100.0,,0.0,3,1,175,19
Giovanni Valentini,6.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,5.0,0 days 00:29:05,10.0,5.0,7.0,71.42857142857143,,71.42857142857143,,3.0,3,3,187,25
Giuseppe Saggese,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.0,0 days 00:05:45,0.0,0.0,0.0,,,,,1.0,3,5,202,21
Ivan Petix,10.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,1.0,4.0,3.0,0 days 00:24:57,2.0,1.0,8.0,12.5,,12.5,,10.0,3,4,195,19
Luigi De Bellis,16.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0 days 00:15:25,5.0,1.0,3.0,33.33333333333333,100.0,,33.33333333333333,0.0,3,2,183,39
Marco Guerci,4.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-4.0,0 days 00:06:33,2.0,1.0,3.0,33.33333333333333,,33.33333333333333,,1.0,3,1,180,22
Niccolò Favretto,24.0,2.0,4.0,1.0,5.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,0.0,1.0,2.0,-4.0,0 days 00:24:35,4.0,1.0,5.0,20.0,50.0,20.0,,1.0,3,2,184,23
Riccardo Palumbo,,3.0,4.0,2.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0 days 00:14:49,7.0,2.0,4.0,50.0,75.0,50.0,,3.0,3,4,190,29
Luca Viscardi,14.0,1.0,2.0,5.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,4.0,1.0,7.0,0 days 00:19:26,11.0,5.0,7.0,71.42857142857143,50.0,71.42857142857143,,6.0,3,5,195,21
Alessandro Contardi,9.0,0.0,0.0,4.0,6.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,-17.0,0 days 00:15:49,8.0,4.0,7.0,57.14285714285714,,66.66666666666666,0.0,1.0,4,3,190,28
Andrea Pasqualini,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days 00:00:00,0.0,0.0,0.0,,,,,0.0,4,2,183,32
Carlo Zucca,11.0,4.0,8.0,5.0,10.0,0.0,1.0,1.0,8.0,4.0,3.0,4.0,0.0,1.0,5.0,-11.0,0 days 00:34:35,14.0,5.0,11.0,45.45454545454545,50.0,50.0,0.0,9.0,4,1,182,25
Emanuele Pedriali,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0 days 00:02:54,0.0,0.0,0.0,,,,,0.0,4,1,175,19
Giovanni Valentini,6.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,-5.0,0 days 00:13:45,0.0,0.0,4.0,0.0,,0.0,0.0,1.0,4,3,187,25
Ivan Petix,10.0,1.0,2.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,-5.0,0 days 00:16:46,5.0,2.0,8.0,25.0,50.0,25.0,,1.0,4,4,195,19
Luca Viscardi,14.0,2.0,2.0,4.0,8.0,0.0,0.0,2.0,6.0,3.0,0.0,0.0,2.0,2.0,1.0,-7.0,0 days 00:22:50,10.0,4.0,8.0,50.0,100.0,50.0,,8.0,4,5,195,21
Luigi De Bellis,16.0,2.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,1.0,-2.0,0 days 00:11:00,2.0,0.0,4.0,0.0,100.0,0.0,0.0,1.0,4,2,183,39
Marco Guerci,4.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,2.0,3.0,1.0,1.0,0.0,2.0,0.0,-4.0,0 days 00:20:46,5.0,2.0,4.0,50.0,,50.0,50.0,2.0,4,1,180,22
Niccolò Favretto,24.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,-18.0,0 days 00:25:19,4.0,2.0,6.0,33.33333333333333,,33.33333333333333,,2.0,4,2,184,23
Riccardo Palumbo,,2.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,-2.0,0 days 00:08:19,2.0,0.0,4.0,0.0,100.0,0.0,0.0,0.0,4,4,190,29
Stefano Zanlucchi,,2.0,2.0,0.0,3.0,0.0,1.0,1.0,7.0,3.0,1.0,2.0,2.0,4.0,4.0,-13.0,0 days 00:27:57,2.0,0.0,4.0,0.0,100.0,0.0,0.0,8.0,4,4,192,34
Alessandro Arisi,21.0,1.0,1.0,7.0,9.0,0.0,0.0,2.0,5.0,2.0,0.0,0.0,0.0,4.0,3.0,1.0,0 days 00:19:21,15.0,7.0,9.0,77.77777777777779,100.0,77.77777777777779,,7.0,5,5,193,25
Alessandro Contardi,9.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,-19.0,0 days 00:08:29,1.0,0.0,4.0,0.0,50.0,0.0,0.0,2.0,5,3,190,28
Andrea Pasqualini,18.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,-6.0,0 days 00:13:50,2.0,1.0,6.0,16.666666666666664,,25.0,0.0,0.0,5,2,183,32
Giovanni Valentini,6.0,0.0,0.0,2.0,5.0,0.0,3.0,0.0,1.0,3.0,2.0,3.0,0.0,3.0,3.0,-9.0,0 days 00:22:43,4.0,2.0,8.0,25.0,,40.0,0.0,1.0,5,3,187,25
Ivan Petix,10.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,0 days 00:10:48,3.0,1.0,3.0,33.33333333333333,33.33333333333333,50.0,0.0,3.0,5,4,195,19
Jacopo Filippini,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days 00:00:00,0.0,0.0,0.0,,,,,0.0,5,2,175,17
Luca Viscardi,14.0,0.0,0.0,4.0,9.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,5.0,0.0,-2.0,0 days 00:20:20,8.0,4.0,9.0,44.44444444444444,,44.44444444444444,,8.0,5,5,195,21
Luigi De Bellis,16.0,2.0,3.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,-6.0,0 days 00:13:48,2.0,0.0,3.0,0.0,66.66666666666666,0.0,0.0,3.0,5,2,183,39
Marco Guerci,4.0,0.0,0.0,1.0,2.0,1.0,4.0,0.0,3.0,1.0,2.0,5.0,0.0,0.0,1.0,-15.0,0 days 00:33:25,5.0,2.0,6.0,33.33333333333333,,50.0,25.0,3.0,5,1,180,22
